Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
20;18016;"Autonomous Robots";journal;"15737527, 09295593";0,999;Q1;117;40;109;1078;400;98;3,37;26,95;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Artificial Intelligence (Q1)"
21;26801;"Computational Linguistics";journal;"08912017, 15309312";0,991;Q1;103;17;57;672;500;56;7,31;39,53;United States;Northern America;"MIT Press Journals";"1985, 1996-2021";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1)"
22;19294;"Journal of Scheduling";journal;"10946136";0,954;Q1;64;33;85;731;113;84;1,09;22,15;United States;Northern America;"Springer New York";"1998-2021";"Artificial Intelligence (Q1); Engineering (miscellaneous) (Q1); Software (Q1); Management Science and Operations Research (Q2)"
23;24207;"Fuzzy Optimization and Decision Making";journal;"15732908, 15684539";0,936;Q1;56;25;61;552;93;58;1,00;22,08;United States;Northern America;"Springer New York";"2002-2021";"Artificial Intelligence (Q1); Logic (Q1); Software (Q1)"
24;24286;"International Journal of Approximate Reasoning";journal;"0888613X, 18734731";0,913;Q1;100;50;130;1184;291;123;2,13;23,68;United States;Northern America;"Elsevier Inc.";"1974, 1987-2021";"Artificial Intelligence (Q1); Software (Q1); Theoretical Computer Science (Q1); Applied Mathematics (Q2)"
25;24825;"Pattern Recognition Letters";journal;"01678655";0,881;Q1;163;222;702;4593;1688;698;1,91;20,69;Netherlands;Western Europe;"Elsevier";"1982-2021";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)"
26;21100255375;"IJCAI 2005 Workshop on Reasoning with Uncertainty in Robotics, RUR 2005";conference and proceedings;"-";0,829;-;5;0;11;0;27;9;2,45;0,00;Canada;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction"
27;12795;"Perception";journal;"14684233, 03010066";0,819;Q1;94;138;370;4473;519;343;1,33;32,41;United States;Northern America;"SAGE Publications Inc.";"1972-2021";"Artificial Intelligence (Q1); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)"
28;28380;"Natural Language Engineering";journal;"14698110, 13513249";0,775;Q1;57;19;56;516;132;56;3,28;27,16;United Kingdom;Western Europe;"Cambridge University Press";"1995-2021";"Artificial Intelligence (Q1); Linguistics and Language (Q1); Software (Q1)"
29;99254;"Proceedings of the International Conference on Artificial Intelligence and Law";conference and proceedings;"-";0,758;-;34;0;89;0;83;87;0,72;0,00;United States;Northern America;"";"";"Artificial Intelligence; Law; Software"
30;15134;"Information Sciences";journal;"00200255";0,757;Q1;194;176;463;4528;808;448;1,74;25,73;United States;Northern America;"Elsevier Inc.";"1968-2022";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Software (Q1); Information Systems and Management (Q2); Theoretical Computer Science (Q2)"
31;24804;"Neural Networks";journal;"08936080, 18792782";0,757;Q1;154;141;360;5780;918;350;2,65;40,99;United Kingdom;Western Europe;"Elsevier Ltd.";"1988-2021";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q3)"
32;110111;"IEEE Intelligent Systems";journal;"15411672";0,751;Q1;129;264;279;3458;933;235;3,35;13,10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2001-2021";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1)"
33;21100204307;"AISTATS 2005 - Proceedings of the 10th International Workshop on Artificial Intelligence and Statistics";conference and proceedings;"-";0,735;-;23;0;59;0;142;57;2,41;0,00;United States;Northern America;"";"";"Artificial Intelligence; Statistics and Probability"
34;23629;"AI Magazine";journal;"07384602";0,729;Q2;79;44;127;568;310;122;1,83;12,91;United States;Northern America;"AI Access Foundation";"1984-1986, 1989-2020";"Artificial Intelligence (Q2)"
35;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";0,717;Q2;93;56;160;2087;450;149;2,71;37,27;Netherlands;Western Europe;"Elsevier";"1989-2021";"Medicine (miscellaneous) (Q1); Artificial Intelligence (Q2)"
36;24354;"Journal of Automated Reasoning";journal;"15730670, 01687433";0,695;Q2;56;33;74;1015;90;71;0,94;30,76;Netherlands;Western Europe;"Springer Netherlands";"1985-2021";"Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Software (Q2)"
37;19400157504;"IJCAI International Joint Conference on Artificial Intelligence";conference and proceedings;"10450823";0,689;-;142;0;643;0;1507;641;2,09;0,00;United States;Northern America;"";"";"Artificial Intelligence"
38;24201;"Expert Systems with Applications";journal;"09574174";0,673;Q2;225;165;367;4614;822;367;2,05;27,96;United Kingdom;Western Europe;"Elsevier Ltd.";"1990-2022";"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)"
39;24142;"Artificial Life";journal;"10645462, 15309185";0,668;Q2;57;32;83;1246;158;72;1,64;38,94;United States;Northern America;"MIT Press Journals";"1995, 1997-2021";"Artificial Intelligence (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
40;12886;"Cognitive Systems Research";journal;"13890417";0,662;Q2;56;25;55;1210;111;51;1,92;48,40;Netherlands;Western Europe;"Elsevier";"1999-2021";"Artificial Intelligence (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)"
41;36450;"Design Studies";journal;"0142694X";0,662;Q2;98;32;92;939;235;90;2,48;29,34;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2021";"Architecture (Q1); Arts and Humanities (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2)"
42;23737;"Computational Intelligence";journal;"08247935, 14678640";0,653;Q2;53;18;68;537;146;68;2,65;29,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2021";"Artificial Intelligence (Q2); Computational Mathematics (Q3)"
43;24173;"Connection Science";journal;"13600494, 09540091";0,653;Q2;44;27;55;1094;95;51;1,38;40,52;United Kingdom;Western Europe;"Taylor and Francis AS";"1989-2021";"Human-Computer Interaction (Q1); Artificial Intelligence (Q2); Software (Q2)"
44;23635;"Adaptive Behavior";journal;"17412633, 10597123";0,642;-;54;24;71;967;142;56;2,10;40,29;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2021";"Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4)"
45;24358;"Journal of Heuristics";journal;"13811231, 15729397";0,628;Q2;67;23;72;643;108;72;1,54;27,96;Netherlands;Western Europe;"Springer Netherlands";"1995-2021";"Computer Networks and Communications (Q1); Artificial Intelligence (Q2); Control and Optimization (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2)"
46;26138;"Parallel Computing";journal;"01678191";0,625;Q2;69;60;222;1385;397;216;1,78;23,08;Netherlands;Western Europe;"Elsevier";"1984-2021";"Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2)"
47;24326;"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems";journal;"02184885";0,601;Q2;61;47;157;992;170;154;0,83;21,11;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2021";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2)"
48;21100285028;"IEEE Transactions on Human-Machine Systems";journal;"21682291";0,588;Q2;127;75;161;2627;443;145;2,83;35,03;United States;Northern America;"IEEE Systems, Man, and Cybernetics Society";"2013-2021";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Human Factors and Ergonomics (Q2); Signal Processing (Q2)"
49;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";0,576;Q2;85;57;159;1424;257;154;1,15;24,98;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Software (Q2)"
50;15631;"International Journal of Information Management";journal;"02684012";0,557;-;132;45;126;1303;261;106;2,00;28,96;United Kingdom;Western Europe;"Elsevier Ltd.";"1970, 1986-2022";"Library and Information Sciences (Q1); Computer Networks and Communications (Q2); Information Systems (Q2)"
51;25456;"Proceedings - IEEE International Conference on Robotics and Automation";conference and proceedings;"10504729";0,557;-;190;681;2345;10651;4802;2336;2,00;15,64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1984-1985, 1991-2020";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software"
52;23670;"Annals of Mathematics and Artificial Intelligence";journal;"15737470, 10122443";0,547;Q2;56;38;138;1364;163;136;1,19;35,89;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Artificial Intelligence (Q2); Applied Mathematics (Q3)"
53;78337;"Proceedings of the National Conference on Artificial Intelligence";conference and proceedings;"-";0,533;-;129;366;526;5177;850;519;1,62;14,14;United States;Northern America;"American Association for Artificial Intelligence (AAAI) Press";"1993-1994, 1996-1999, 2002, 2004-2008, 2010-2012, 2014-2015";"Artificial Intelligence; Software"
54;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";0,511;Q2;86;40;90;1300;168;87;1,60;32,50;Netherlands;Western Europe;"Springer Netherlands";"1986-2021";"Linguistics and Language (Q1); Artificial Intelligence (Q2)"
55;24361;"Journal of Intelligent Information Systems";journal;"15737675, 09259902";0,499;Q2;57;29;74;785;146;70;1,45;27,07;Netherlands;Western Europe;"Springer Netherlands";"1992-2021";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2)"
56;24806;"Neural Processing Letters";journal;"13704621, 1573773X";0,494;Q2;58;39;105;860;169;101;1,22;22,05;Netherlands;Western Europe;"Springer Netherlands";"1994-2021";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Software (Q2); Neuroscience (miscellaneous) (Q3)"
57;25621;"Journal of Parallel and Distributed Computing";journal;"07437315, 10960848";0,490;Q2;92;124;329;3503;581;321;1,25;28,25;United States;Northern America;"Academic Press Inc.";"1984-2022";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2)"
58;19900195019;"Proceedings of the 21st Conference on Uncertainty in Artificial Intelligence, UAI 2005";conference and proceedings;"-";0,484;-;26;0;83;0;130;82;1,57;0,00;United States;Northern America;"";"";"Artificial Intelligence"
59;24822;"Pattern Analysis and Applications";journal;"1433755X, 14337541";0,478;Q2;58;32;90;1229;102;89;0,76;38,41;United Kingdom;Western Europe;"Springer London";"1998-2021";"Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2)"
60;24175;"Constraints";journal;"15729354, 13837133";0,477;Q2;46;18;52;398;74;49;1,30;22,11;Netherlands;Western Europe;"Springer Netherlands";"1996-2021";"Artificial Intelligence (Q2); Software (Q2); Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3)"
61;24807;"Neurocomputing";journal;"09252312";0,475;Q2;157;333;796;6350;1057;783;1,16;19,07;Netherlands;Western Europe;"Elsevier";"1989-2021";"Artificial Intelligence (Q2); Computer Science Applications (Q2); Cognitive Neuroscience (Q4)"
62;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";0,474;Q2;92;68;213;1746;229;206;0,74;25,68;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1986-2021";"Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2); Theoretical Computer Science (Q3)"
63;15435;"Journal of Consciousness Studies";journal;"20512201, 13558250";0,470;Q2;67;106;218;1930;187;186;0,70;18,21;United Kingdom;Western Europe;"Imprint Academic";"1996-2021";"Philosophy (Q1); Artificial Intelligence (Q2); Psychology (miscellaneous) (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
64;21100421874;"IEMDC 2003 - IEEE International Electric Machines and Drives Conference";conference and proceedings;"-";0,469;-;30;0;299;0;198;296;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Software"
65;24777;"Minds and Machines";journal;"09246495, 15728641";0,468;Q2;44;31;68;1008;65;66;0,95;32,52;Netherlands;Western Europe;"Springer Netherlands";"1991-2021";"Philosophy (Q1); Artificial Intelligence (Q2)"
66;21100447124;"DOLAP 2005 - Proceedings of the 8th ACM International Workshop on Data Warehousing and OLAP, co-located with CIKM 2005";conference and proceedings;"-";0,462;-;10;0;14;0;37;12;2,64;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
67;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";0,455;Q2;114;86;223;1987;407;219;1,57;23,10;United Kingdom;Western Europe;"Elsevier Ltd.";"1988-2021";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)"
68;23673;"Applied Artificial Intelligence";journal;"10876545, 08839514";0,421;Q2;59;35;137;1008;162;137;1,20;28,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2021";"Artificial Intelligence (Q2)"
69;23640;"Advanced Engineering Informatics";journal;"14740346";0,411;Q2;90;37;62;1141;169;58;2,67;30,84;United Kingdom;Western Europe;"Elsevier Ltd.";"2002-2021";"Artificial Intelligence (Q2); Information Systems (Q3)"
70;15703;"Knowledge and Information Systems";journal;"02191377, 02193116";0,387;Q2;78;46;45;1357;60;45;1,33;29,50;United Kingdom;Western Europe;"Springer London";"2005-2021";"Artificial Intelligence (Q2); Hardware and Architecture (Q2); Human-Computer Interaction (Q2); Information Systems (Q3); Software (Q3)"
71;145636;"Proceedings of the International Conference on Autonomous Agents";conference and proceedings;"-";0,382;-;75;285;542;3694;659;538;0,53;12,96;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Software; Theoretical Computer Science"
72;144945;"Networks and Spatial Economics";journal;"1566113X";0,381;Q3;52;22;19;455;5;18;0,26;20,68;Netherlands;Western Europe;"Kluwer Academic Publishers";"2005-2021";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Software (Q3)"
73;12931;"Cybernetics and Systems";journal;"10876553, 01969722";0,375;Q3;41;46;127;1037;106;127;0,80;22,54;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2021";"Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3)"
74;15552;"Microprocessors and Microsystems";journal;"01419331";0,372;Q3;41;44;147;1031;102;141;0,67;23,43;Netherlands;Western Europe;"Elsevier";"1978-2021";"Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Artificial Intelligence (Q3); Software (Q3)"
75;24185;"Expert Systems";journal;"14680394, 02664720";0,368;Q3;41;26;67;678;81;66;0,62;26,08;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1984-2021";"Control and Systems Engineering (Q2); Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Theoretical Computer Science (Q3)"
76;26803;"Journal of Pragmatics";journal;"03782166";0,367;Q3;103;121;251;3842;226;233;0,73;31,75;Netherlands;Western Europe;"Elsevier";"1977-2021";"Linguistics and Language (Q1); Artificial Intelligence (Q3)"
77;24310;"International Journal of Pattern Recognition and Artificial Intelligence";journal;"02180014";0,355;Q3;57;65;217;1421;193;195;0,81;21,86;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1995-2021";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3)"
78;24306;"Digital Signal Processing: A Review Journal";journal;"10954333, 10512004";0,350;-;79;73;115;1181;118;105;0,99;16,18;United States;Northern America;"Elsevier Inc.";"1991-2022";"Electrical and Electronic Engineering (Q2); Signal Processing (Q3)"
79;130113;"Cognitive Processing";journal;"16124782, 16124790";0,345;Q3;46;83;22;1667;25;21;1,14;20,08;Germany;Western Europe;"Springer Verlag";"2005-2021";"Medicine (miscellaneous) (Q2); Artificial Intelligence (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
80;24772;"Knowledge-Based Systems";journal;"09507051";0,345;Q3;135;81;113;1851;171;109;1,41;22,85;Netherlands;Western Europe;"Elsevier";"1987-2021";"Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Software (Q3)"
81;4700151907;"2005 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS";conference and proceedings;"-";0,340;-;62;0;665;0;878;663;1,32;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Vision and Pattern Recognition; Control and Systems Engineering; Human-Computer Interaction"
82;21100446412;"3rd International Workshop on Link Discovery, LinkKDD 2005 - in conjunction with 10th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining";conference and proceedings;"-";0,338;-;9;0;14;0;26;12;1,86;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Human-Computer Interaction"
83;21100446432;"Proceedings of 4th ACM SIGCOMM Workshop on Network and System Support for Games, NetGames 2005";conference and proceedings;"-";0,335;-;11;0;21;0;51;20;2,43;0,00;United States;Northern America;"";"";"Electrical and Electronic Engineering; Hardware and Architecture"
84;23678;"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM";journal;"08900604, 14691760";0,316;Q3;54;32;61;1012;72;56;1,13;31,63;United Kingdom;Western Europe;"Cambridge University Press";"1987-2021";"Industrial and Manufacturing Engineering (Q2); Artificial Intelligence (Q3)"
85;24800;"Neural Computing and Applications";journal;"09410643, 14333058";0,314;Q3;94;36;120;900;108;115;0,93;25,00;United Kingdom;Western Europe;"Springer London";"1993-2021";"Artificial Intelligence (Q3); Software (Q3)"
86;21100411629;"Web Intelligence";journal;"24056464, 24056456";0,309;Q3;24;22;57;677;57;53;0,77;30,77;Netherlands;Western Europe;"IOS Press BV";"2015-2020";"Computer Networks and Communications (Q2); Artificial Intelligence (Q3); Software (Q3)"
87;21100497165;"2004 IEEE Wireless Communications and Networking Conference, WCNC 2004";conference and proceedings;"-";0,295;-;15;0;111;0;108;110;0,97;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering; Human-Computer Interaction"
88;11300153726;"Intelligent Data Analysis";journal;"1088467X, 15714128";0,294;Q3;48;38;116;865;92;98;0,90;22,76;Netherlands;Western Europe;"IOS Press BV";"1997-2021";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Theoretical Computer Science (Q3)"
89;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"15730409, 09210296";0,294;Q3;82;57;171;1346;137;168;0,70;23,61;Netherlands;Western Europe;"Springer Netherlands";"1988-2021";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Artificial Intelligence (Q3); Software (Q3)"
90;23674;"Applied Intelligence";journal;"0924669X, 15737497";0,287;Q3;72;43;115;1245;96;111;0,61;28,95;Netherlands;Western Europe;"Springer Netherlands";"1991-2021";"Artificial Intelligence (Q3)"
91;24802;"Neural Network World";journal;"23364335, 12100552";0,287;Q3;27;39;136;751;54;131;0,27;19,26;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2021";"Artificial Intelligence (Q3); Hardware and Architecture (Q3); Neuroscience (miscellaneous) (Q3); Software (Q3)"
92;19270;"International Journal of Software Engineering and Knowledge Engineering";journal;"02181940";0,286;Q3;36;39;142;1114;120;135;0,73;28,56;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2021";"Artificial Intelligence (Q3); Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Software (Q3)"
93;21100321982;"Multi-Robot Systems. From Swarms to Intelligent Automata - Proceedings from the 2005 International Workshop on Multi-Robot Systems";conference and proceedings;"-";0,282;-;10;0;28;0;28;26;1,00;0,00;Netherlands;Western Europe;"";"";"Artificial Intelligence; Control and Systems Engineering"
94;21100348315;"Proceedings - 2nd IEEE and ACM International Symposium on Mixed and Augmented Reality, ISMAR 2003";conference and proceedings;"-";0,280;-;29;0;79;0;217;78;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications"
95;21100219906;"Proceedings of the Workshop on Virtual Environments, EGVE'03";conference and proceedings;"-";0,278;-;18;0;45;0;76;44;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence"
96;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";0,275;-;61;353;761;6555;486;754;0,64;18,57;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2021";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science"
97;21100422031;"2003 IEEE/LEOS International Conference on Optical MEMS";conference and proceedings;"-";0,272;-;10;0;85;0;45;84;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Computer Science Applications"
98;19500157321;"Frontiers in Artificial Intelligence and Applications";book series;"15356698, 09226389";0,271;Q3;54;307;366;4125;259;360;0,71;13,44;Netherlands;Western Europe;"IOS Press BV";"2004-2021";"Artificial Intelligence (Q3)"
99;145333;"Proceedings - IEEE International High-Level Design Validation and Test Workshop, HLDVT";conference and proceedings;"15526674";0,271;-;21;31;92;393;59;88;0,60;12,68;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Engineering (miscellaneous); Software; Theoretical Computer Science"
100;24241;"Neural Networks for Signal Processing - Proceedings of the IEEE Workshop";conference and proceedings;"-";0,263;-;32;0;90;0;46;88;0,00;0,00;United States;Northern America;"";"";"Electrical and Electronic Engineering; Signal Processing; Software"
101;24449;"Kybernetika";journal;"00235954, 1805949X";0,259;Q3;38;49;158;760;73;157;0,49;15,51;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2021";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q3)"
