Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
120,4700152208,International Journal of Humanoid Robotics,journal,02198436,0.236,Q3,38,83,1179,215,75,1.47,35.73,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2006-2021,Mechanical Engineering (Q2); Artificial Intelligence (Q3),2007
123,19700175219,Iranian Journal of Fuzzy Systems,journal,17350654,0.23,Q3,32,38,280,6,38,0.12,18.67,Iran,Middle East,University of Sistan and Baluchestan,2004-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Information Systems and Management (Q3); Mathematics (miscellaneous) (Q4),2007
124,79015,Kongzhi yu Juece/Control and Decision,journal,10010920,0.228,Q3,45,923,3848,351,923,0.36,12.62,China,Asiatic Region,Northeast University,1997-2021,Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Software (Q3); Control and Optimization (Q4),2007
125,23616,AI and Society,journal,"09515666, 14355655",0.225,Q3,33,97,1533,49,86,0.56,23.58,United Kingdom,Western Europe,Springer London,"1987-1996, 1998-2021",Philosophy (Q2); Artificial Intelligence (Q3); Human-Computer Interaction (Q4),2007
126,12981,Kybernetes,journal,0368492X,0.221,Q3,43,457,2699,169,447,0.36,21.77,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1972-2021,Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4),2007
132,23917,Journal of Intelligent and Fuzzy Systems,journal,"18758967, 10641246",0.208,Q3,64,106,1356,61,103,0.45,29.48,Netherlands,Western Europe,IOS Press BV,1993-2021,Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Statistics and Probability (Q4),2007
133,13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,journal,"23001917, 02397528",0.202,Q3,44,131,1106,94,130,0.73,21.69,Poland,Eastern Europe,Polish Academy of Sciences,"1983-1988, 2004-2021","Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Information Systems (Q3); Atomic and Molecular Physics, and Optics (Q4)",2007
134,11200153531,Foundations of Artificial Intelligence,book series,15746526,0.202,Q3,21,51,0,15,2,0.29,0.0,Netherlands,Western Europe,Elsevier,"2005-2006, 2008",Artificial Intelligence (Q3); Computer Science Applications (Q4); Theoretical Computer Science (Q4),2007
136,12358,International Journal of Fuzzy Systems,journal,"15622479, 21993211",0.2,Q4,47,73,650,33,71,0.44,19.7,Switzerland,Western Europe,Springer International Publishing AG,2004-2021,Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Software (Q4); Theoretical Computer Science (Q4),2007
138,21100255064,Mendel,journal,18033814,0.193,-,13,76,329,23,74,0.3,11.34,Czech Republic,Eastern Europe,Brno University of Technology,"2005-2007, 2009-2021",Computer Science (miscellaneous) (Q3); Computational Mathematics (Q4); Theoretical Computer Science (Q4),2007
140,24185,Expert Systems,journal,"14680394, 02664720",0.186,Q4,41,65,762,52,63,0.63,33.13,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1984-2021,Control and Systems Engineering (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2007
141,144653,Artificial Life and Robotics,journal,14335298,0.182,Q4,21,69,427,33,69,0.48,9.7,Japan,Asiatic Region,Springer Japan,2005-2021,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Artificial Intelligence (Q4)",2007
142,25482,International Journal of Robotics and Automation,journal,"19257090, 08268185",0.182,Q4,26,87,816,43,85,0.29,23.31,Canada,Northern America,ACTA Press,1995-2021,Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4),2007
144,24802,Neural Network World,journal,"23364335, 12100552",0.175,Q4,27,130,920,43,125,0.38,20.0,Czech Republic,Eastern Europe,Czech Technical University in Prague,1994-2021,Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4),2007
146,24847,Revue d'Intelligence Artificielle,journal,0992499X,0.173,Q4,15,98,857,33,91,0.37,28.57,France,Western Europe,Lavoisier,1995-2021,Artificial Intelligence (Q4); Software (Q4),2007
149,12237,Complexity International,journal,13200682,0.17,Q4,16,39,0,10,39,0.59,0.0,Australia,Pacific Region,Charles Sturt University,"1996-1998, 2000, 2002, 2004-2005, 2008",Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4),2007
150,19700186852,Journal of Multimedia (discontinued),journal,17962048,0.168,Q4,26,45,1044,25,45,0.56,22.7,Finland,Western Europe,Academy Publisher,2006-2013,Media Technology (Q2); Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4),2007
152,12962,Journal of Intelligent Systems,journal,"03341860, 2191026X",0.165,Q4,21,49,409,18,46,0.26,21.53,Germany,Western Europe,Walter de Gruyter GmbH,"1991-2002, 2004-2021",Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4),2007
153,18197,Integrated Computer-Aided Engineering,journal,"10692509, 18758835",0.163,Q4,45,84,654,42,81,0.54,26.16,Netherlands,Western Europe,IOS Press BV,1993-2021,Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Software (Q4); Theoretical Computer Science (Q4),2007
155,19900193685,International Journal of Knowledge-Based and Intelligent Engineering Systems,journal,"13272314, 18758827",0.159,Q4,20,87,755,31,86,0.41,19.87,Netherlands,Western Europe,IOS Press BV,2004-2021,Control and Systems Engineering (Q3); Artificial Intelligence (Q4); Software (Q4),2007
157,24805,"Neural, Parallel and Scientific Computations (discontinued)",journal,10615369,0.158,Q4,12,98,656,22,97,0.21,17.26,United States,Northern America,Dynamic Publishers,2004-2016,Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4); Theoretical Computer Science (Q4),2007
164,4900152708,Studies in Computational Intelligence,book series,"18609503, 1860949X",0.15,Q4,73,314,20009,91,305,0.29,33.91,Germany,Western Europe,Springer Verlag,2006-2022,Artificial Intelligence (Q4),2007
165,6700153285,International Journal of Mobile Network Design and Innovation,journal,"17442869, 17442850",0.149,Q4,11,32,510,10,32,0.31,18.21,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2006-2007, 2009-2020",Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Management Information Systems (Q4); Software (Q4),2007
171,71051,Psyche,journal,1039723X,0.144,Q4,18,96,567,14,64,0.14,28.35,United States,Northern America,Association for the Scientific Study of Conciousness,"1997-1998, 2000-2010",Philosophy (Q2); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2007
175,24258,Inteligencia Artificial,journal,11373601,0.141,Q4,13,122,772,13,119,0.11,21.44,Spain,Western Europe,Asociacion Espanola de Inteligencia Artificial,"2004-2010, 2012-2021",Artificial Intelligence (Q4); Software (Q4),2007
182,4900152703,Springer Tracts in Advanced Robotics,book series,"16107438, 1610742X",0.133,Q4,50,517,3402,95,456,0.14,18.39,Germany,Western Europe,Springer Verlag,2004-2021,Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4),2007
193,25476,Intelligent Automation and Soft Computing,journal,"10798587, 2326005X",0.123,Q4,28,88,700,33,83,0.42,20.59,United States,Northern America,Tech Science Press,1995-2022,Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Software (Q4); Theoretical Computer Science (Q4),2007
198,21100369426,Advances in Computer Vision and Pattern Recognition,book series,"21916594, 21916586",0.122,Q4,20,1,0,0,1,0.0,0.0,United States,Northern America,Springer Science + Business Media,"2005, 2014-2015, 2017-2021",Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Signal Processing (Q4); Software (Q4),2007
199,18056,Jiqiren/Robot,journal,10020446,0.122,Q4,27,321,1359,81,321,0.24,13.46,China,Asiatic Region,Chinese Academy of Sciences,"1998, 2001-2021",Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4),2007
208,5000153105,Understanding Complex Systems,book series,18600840,0.12,Q4,32,90,3570,10,90,0.11,60.51,Germany,Western Europe,Springer Verlag,2006-2021,Artificial Intelligence (Q4); Computational Mechanics (Q4); Software (Q4),2007
211,87936,Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence,journal,10036059,0.117,Q4,23,346,1873,41,346,0.09,13.77,China,Asiatic Region,,2001-2021,Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4),2007
217,145264,Transactions of the Japanese Society for Artificial Intelligence,journal,13460714,0.115,Q4,17,155,1221,23,155,0.16,21.05,Japan,Asiatic Region,Japanese Society for Artificial Intelligence,2001-2021,Artificial Intelligence (Q4); Software (Q4),2007
218,27190,Machine Translation,journal,"09226567, 15730573",0.113,Q4,31,28,383,4,27,0.16,38.3,Netherlands,Western Europe,Springer Netherlands,1989-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4),2007
219,24811,OGAI Journal (Oesterreichische Gesellschaft fuer Artificial Intelligence),journal,02544326,0.113,Q4,8,64,163,9,47,0.23,7.41,Austria,Western Europe,Austrian Society for Artificial Intelligency,"1987, 1989, 2001-2009",Artificial Intelligence (Q4); Software (Q4),2007
221,21100204931,Sistemi Intelligenti,journal,"11209550, 19738226",0.113,Q4,7,121,817,4,117,0.01,34.04,Italy,Western Europe,Il Mulino publishing house,1997-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2007
246,24809,Journal of Memetics,journal,13664786,0.103,Q4,15,8,0,2,7,0.0,0.0,United Kingdom,Western Europe,Manchester Metropolitan University,1997-2005,"Philosophy (Q3); Anthropology (Q4); Artificial Intelligence (Q4); Ecology, Evolution, Behavior and Systematics (Q4)",2007
250,19700174602,Cognitive Technologies,book series,16112482,0.102,Q4,15,44,911,6,41,0.14,24.62,Germany,Western Europe,Springer Verlag,"2006-2015, 2017-2018, 2020-2021",Artificial Intelligence (Q4); Software (Q4),2007
260,19700186824,Journal of Software (discontinued),journal,1796217X,0.101,Q4,32,15,1399,4,15,0.27,27.98,Finland,Western Europe,Academy Publisher,2006-2014,Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4),2007
276,24951,Automatic Control and Computer Sciences (English translation of Avtomatika i Vychislitel'naya Tekhnika),journal,01324160,0.1,Q4,6,83,0,10,83,0.12,0.0,Russian Federation,Eastern Europe,Izdatel'stvo Nauka,"1978-1980, 1991-2005",Artificial Intelligence (Q4); Control and Systems Engineering (Q4),2007
277,21100286449,Civil-Comp Proceedings,journal,17593433,0.1,Q4,13,352,575,2,348,0.01,13.69,United Kingdom,Western Europe,Civil-Comp Press,"2003, 2005-2017",Artificial Intelligence (Q4); Civil and Structural Engineering (Q4); Computational Theory and Mathematics (Q4); Environmental Engineering (Q4),2007
283,21100199837,Frontiers in Neurorobotics,journal,16625218,0.0,-,39,0,277,0,0,0.0,55.4,Switzerland,Western Europe,Frontiers Media S.A.,2007-2021,Artificial Intelligence; Biomedical Engineering,2007
284,21100211724,Intelligent Decision Technologies,journal,"18724981, 18758843",0.0,-,15,0,563,0,0,0.0,33.12,Netherlands,Western Europe,IOS Press BV,2007-2021,Artificial Intelligence; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software,2007
285,19700186872,International Journal of Cognitive Informatics and Natural Intelligence,journal,"15573958, 15573966",0.0,-,24,0,847,0,0,0.0,35.29,United States,Northern America,IGI Global Publishing,2007-2021,Artificial Intelligence; Human-Computer Interaction; Software,2007
286,21100872796,International Journal of Semantic Computing,journal,"17937108, 1793351X",0.0,-,18,0,786,0,0,0.0,28.07,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2007-2021,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Information Systems; Linguistics and Language; Software,2007
1,12872,Cognitive Psychology,journal,"10955623, 00100285",3.499,Q1,123,60,1587,315,59,4.38,75.57,United States,Northern America,Academic Press Inc.,1970-2021,Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2008
2,23127,Journal of the ACM,journal,"00045411, 1557735X",3.301,Q1,131,93,976,383,91,3.3,34.86,United States,Northern America,Association for Computing Machinery (ACM),1954-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),2008
3,24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,01628828,2.979,Q1,377,562,6370,5661,553,8.76,34.25,United States,Northern America,IEEE Computer Society,1978-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2008
4,22478,Journal of Memory and Language,journal,"10960821, 0749596X",2.669,Q1,156,194,4751,741,194,3.44,55.89,United States,Northern America,Academic Press Inc.,1985-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),2008
5,24242,IEEE Transactions on Fuzzy Systems,journal,10636706,2.581,Q1,202,250,4450,1352,243,4.63,33.21,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1993-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1),2008
6,72242,International Journal of Computer Vision,journal,"09205691, 15731405",2.39,Q1,201,247,3689,1814,234,5.89,39.24,Netherlands,Western Europe,Springer Netherlands,1987-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),2008
7,20969,Journal of Machine Learning Research,journal,"15337928, 15324435",2.121,Q1,221,348,3225,1715,346,3.67,31.62,United States,Northern America,Microtome Publishing,2001-2021,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1),2008
8,12874,Cognitive Science,journal,"03640213, 15516709",2.052,Q1,120,127,2910,460,120,2.95,51.05,United States,Northern America,Wiley-Blackwell,1977-2021,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2),2008
9,145544,Journal of Semantics,journal,"01675133, 14774593",1.88,Q1,43,42,521,50,39,1.32,43.42,United Kingdom,Western Europe,Oxford University Press,"1982-1986, 1990-2021",Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1),2008
10,21100235616,IEEE Transactions on Neural Networks and Learning Systems,journal,"2162237X, 21622388",1.85,Q1,221,486,6487,2506,480,4.65,35.26,United States,Northern America,IEEE Computational Intelligence Society,2012-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1),2008
11,23675,Artificial Intelligence,journal,00043702,1.829,Q1,155,166,3400,853,162,4.31,46.58,Netherlands,Western Europe,Elsevier,1970-2022,Artificial Intelligence (Q1); Linguistics and Language (Q1),2008
12,24775,Machine Learning,journal,"15730565, 08856125",1.724,Q1,153,142,1541,567,132,3.69,29.08,Netherlands,Western Europe,Springer Netherlands,1986-2021,Artificial Intelligence (Q1); Software (Q1),2008
13,24330,Journal of Artificial Intelligence Research,journal,10769757,1.698,Q1,123,119,2481,592,119,4.73,42.78,United States,Northern America,"Morgan Kaufmann Publishers, Inc.","1993, 1996-2021",Artificial Intelligence (Q1),2008
14,15134,Information Sciences,journal,00200255,1.544,Q1,194,696,10913,2741,681,3.86,33.27,United States,Northern America,Elsevier Inc.,1968-2022,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1),2008
15,26529,Fuzzy Sets and Systems,journal,01650114,1.539,Q1,174,666,5732,1774,646,2.19,27.3,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q1); Logic (Q1),2008
16,19294,Journal of Scheduling,journal,10946136,1.531,Q1,64,98,874,177,92,1.58,22.41,United States,Northern America,Springer New York,1998-2021,Artificial Intelligence (Q1); Engineering (miscellaneous) (Q1); Management Science and Operations Research (Q1); Software (Q1),2008
17,13017,Physics of Life Reviews,journal,"18731457, 15710645",1.449,Q1,67,34,1256,161,34,2.82,104.67,Netherlands,Western Europe,Elsevier,2004-2021,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1),2008
19,18050,International Journal of Robotics Research,journal,"02783649, 17413176",1.323,Q1,170,215,2561,798,202,3.75,34.15,United States,Northern America,SAGE Publications Inc.,1982-2021,Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1),2008
20,24157,Autonomous Agents and Multi-Agent Systems,journal,"15737454, 13872532",1.295,Q1,72,73,1139,291,70,3.96,37.97,Netherlands,Western Europe,Springer Netherlands,1998-2021,Artificial Intelligence (Q1),2008
21,24823,Pattern Recognition,journal,00313203,1.196,Q1,218,782,9901,2771,772,3.43,31.53,United Kingdom,Western Europe,Elsevier Ltd.,1968-2022,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),2008
22,24286,International Journal of Approximate Reasoning,journal,"0888613X, 18734731",1.16,Q1,100,191,3961,419,176,2.02,29.56,United States,Northern America,Elsevier Inc.,"1974, 1987-2021",Applied Mathematics (Q1); Artificial Intelligence (Q1); Software (Q1); Theoretical Computer Science (Q1),2008
23,24804,Neural Networks,journal,"08936080, 18792782",1.141,Q1,154,365,4832,1157,336,3.11,32.43,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Artificial Intelligence (Q1); Cognitive Neuroscience (Q2),2008
24,24201,Expert Systems with Applications,journal,09574174,1.123,Q1,225,550,13893,1955,547,3.34,27.24,United Kingdom,Western Europe,Elsevier Ltd.,1990-2022,Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1),2008
25,24354,Journal of Automated Reasoning,journal,"15730670, 01687433",1.121,Q1,56,92,745,189,82,2.46,31.04,Netherlands,Western Europe,Springer Netherlands,1985-2021,Artificial Intelligence (Q1); Software (Q1); Computational Theory and Mathematics (Q2),2008
26,15703,Knowledge and Information Systems,journal,"02191377, 02193116",1.026,Q1,78,139,2010,346,135,2.43,30.92,United Kingdom,Western Europe,Springer London,2005-2021,Artificial Intelligence (Q1); Hardware and Architecture (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1),2008
27,24140,Artificial Intelligence in Medicine,journal,"09333657, 18732860",0.973,Q1,93,170,2137,524,157,2.85,37.49,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1),2008
29,24774,Knowledge Engineering Review,journal,"14698005, 02698889",0.919,Q1,64,70,983,193,68,2.14,49.15,United Kingdom,Western Europe,Cambridge University Press,"1984, 1987-2021",Artificial Intelligence (Q1); Software (Q1),2008
30,24358,Journal of Heuristics,journal,"13811231, 15729397",0.914,Q1,67,71,853,110,70,1.58,28.43,Netherlands,Western Europe,Springer Netherlands,1995-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1); Control and Optimization (Q2); Management Science and Operations Research (Q2),2008
31,23640,Advanced Engineering Informatics,journal,14740346,0.913,Q1,90,103,1416,294,93,2.28,30.78,United Kingdom,Western Europe,Elsevier Ltd.,2002-2021,Artificial Intelligence (Q1); Information Systems (Q1),2008
33,24825,Pattern Recognition Letters,journal,01678655,0.899,Q1,163,724,5887,2094,709,2.81,24.63,Netherlands,Western Europe,Elsevier,1982-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),2008
34,4000148905,IEEE Computational Intelligence Magazine,journal,1556603X,0.895,Q1,62,75,856,243,58,3.24,21.4,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2006-2021,Artificial Intelligence (Q1); Theoretical Computer Science (Q2),2008
35,21100285028,IEEE Transactions on Human-Machine Systems,journal,21682291,0.86,Q1,127,257,3361,804,248,2.92,44.22,United States,Northern America,"IEEE Systems, Man, and Cybernetics Society",2013-2021,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Human Factors and Ergonomics (Q1); Signal Processing (Q2),2008
37,28424,Theory and Practice of Logic Programming,journal,"14753081, 14710684",0.794,Q2,46,68,923,94,65,1.23,35.5,United Kingdom,Western Europe,Cambridge University Press,2001-2021,Hardware and Architecture (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Software (Q2); Theoretical Computer Science (Q2),2008
38,26803,Journal of Pragmatics,journal,03782166,0.792,Q2,103,338,4403,380,309,0.85,39.31,Netherlands,Western Europe,Elsevier,1977-2021,Linguistics and Language (Q1); Artificial Intelligence (Q2),2008
39,24175,Constraints,journal,"15729354, 13837133",0.783,Q2,46,58,612,89,53,1.55,29.14,Netherlands,Western Europe,Springer Netherlands,1996-2021,Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Software (Q2),2008
40,110111,IEEE Intelligent Systems,journal,15411672,0.783,Q2,129,458,1020,947,400,1.93,10.1,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2001-2021,Computer Networks and Communications (Q1); Artificial Intelligence (Q2),2008
41,18016,Autonomous Robots,journal,"15737527, 09295593",0.781,Q2,117,132,1828,351,122,2.35,35.84,Netherlands,Western Europe,Springer Netherlands,1994-2021,Artificial Intelligence (Q2),2008
42,23670,Annals of Mathematics and Artificial Intelligence,journal,"15737470, 10122443",0.751,Q2,56,127,1289,161,118,1.24,31.44,Netherlands,Western Europe,Springer Netherlands,1990-2021,Applied Mathematics (Q2); Artificial Intelligence (Q2),2008
43,12795,Perception,journal,"14684233, 03010066",0.726,Q2,94,422,5039,559,395,1.18,31.1,United States,Northern America,SAGE Publications Inc.,1972-2021,Artificial Intelligence (Q2); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3),2008
45,144945,Networks and Spatial Economics,journal,1566113X,0.68,Q2,52,63,566,68,57,0.98,21.77,Netherlands,Western Europe,Kluwer Academic Publishers,2005-2021,Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Software (Q2),2008
46,12886,Cognitive Systems Research,journal,13890417,0.675,Q2,56,70,1212,106,65,1.85,52.7,Netherlands,Western Europe,Elsevier,1999-2021,Artificial Intelligence (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3),2008
47,36450,Design Studies,journal,0142694X,0.669,Q2,98,93,1234,216,90,1.88,38.56,United Kingdom,Western Europe,Elsevier Ltd.,1979-2021,Architecture (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2); Arts and Humanities (miscellaneous) (Q2); Computer Science Applications (Q2),2008
48,23629,AI Magazine,journal,07384602,0.658,Q2,79,135,778,271,126,1.58,18.98,United States,Northern America,AI Access Foundation,"1984-1986, 1989-2020",Artificial Intelligence (Q2),2008
49,24361,Journal of Intelligent Information Systems,journal,"15737675, 09259902",0.646,Q2,57,78,750,146,75,1.89,30.0,Netherlands,Western Europe,Springer Netherlands,1992-2021,Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2),2008
50,26801,Computational Linguistics,journal,"08912017, 15309312",0.643,Q2,103,58,956,482,56,7.4,45.52,United States,Northern America,MIT Press Journals,"1985, 1996-2021",Linguistics and Language (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2),2008
53,24182,Engineering Applications of Artificial Intelligence,journal,09521976,0.628,Q2,114,264,3235,606,256,2.08,26.3,United Kingdom,Western Europe,Elsevier Ltd.,1988-2021,Control and Systems Engineering (Q1); Artificial Intelligence (Q2); Electrical and Electronic Engineering (Q2),2008
54,24207,Fuzzy Optimization and Decision Making,journal,"15732908, 15684539",0.624,Q2,56,71,693,127,70,1.58,24.75,United States,Northern America,Springer New York,2002-2021,Artificial Intelligence (Q2); Logic (Q2); Software (Q2),2008
56,15631,International Journal of Information Management,journal,02684012,0.592,-,132,126,2001,277,105,2.18,35.11,United Kingdom,Western Europe,Elsevier Ltd.,"1970, 1986-2022",Library and Information Sciences (Q1); Computer Networks and Communications (Q2); Information Systems (Q2),2008
57,24363,Journal of Intelligent Manufacturing,journal,"15728145, 09565515",0.59,Q2,85,164,1765,256,159,1.36,28.47,Netherlands,Western Europe,Springer Netherlands,1990-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Software (Q2),2008
58,23635,Adaptive Behavior,journal,"17412633, 10597123",0.586,-,54,73,974,173,66,2.08,40.58,United Kingdom,Western Europe,SAGE Publications Ltd,1992-2021,Behavioral Neuroscience (Q3); Experimental and Cognitive Psychology (Q3),2008
59,25621,Journal of Parallel and Distributed Computing,journal,"07437315, 10960848",0.586,Q2,92,340,3671,535,330,1.7,30.85,United States,Northern America,Academic Press Inc.,1984-2022,Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2),2008
60,24305,International Journal of Intelligent Systems,journal,"1098111X, 08848173",0.581,Q2,92,200,1932,267,192,1.1,29.27,United Kingdom,Western Europe,John Wiley and Sons Ltd,1986-2021,Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2); Theoretical Computer Science (Q2),2008
61,24326,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",journal,02184885,0.578,Q2,61,148,1401,152,142,1.2,23.35,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2),2008
62,26138,Parallel Computing,journal,01678191,0.573,Q2,69,182,1344,299,170,1.62,25.85,Netherlands,Western Europe,Elsevier,1984-2021,Artificial Intelligence (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2); Theoretical Computer Science (Q2),2008
63,24772,Knowledge-Based Systems,journal,09507051,0.523,Q2,135,193,2745,346,184,1.58,26.14,Netherlands,Western Europe,Elsevier,1987-2021,Artificial Intelligence (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Software (Q2),2008
64,24807,Neurocomputing,journal,09252312,0.514,Q2,157,923,10815,1467,904,1.56,27.73,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q2); Computer Science Applications (Q2); Cognitive Neuroscience (Q3),2008
65,24142,Artificial Life,journal,"10645462, 15309185",0.513,Q2,57,87,1025,196,82,1.66,34.17,United States,Northern America,MIT Press Journals,"1995, 1997-2021","Artificial Intelligence (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)",2008
66,24173,Connection Science,journal,"13600494, 09540091",0.512,Q2,44,67,817,112,64,1.43,43.0,United Kingdom,Western Europe,Taylor and Francis AS,1989-2021,Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Software (Q2),2008
